Title,link_url,institute,author,language,description,date,tags,ratings,votes
The Science of Health Care Delivery (Coursera) More Info,https://www.mooc-list.com/course/science-health-care-delivery-coursera https://www.mooc-list.com/course/science-health-care-delivery-coursera,Arizona State University,Coursera,English,"This course explores why the Science for Health Care Delivery is critically important for the next generation of health care professionals. By the end of this introductory course, learners will recognize how education in the Science of Health Care Delivery changes provider care, improves the patient experience, and enhances the quality of patient health and health care.",Feb 23rd 2019,"Healthcare,  Healthcare Delivery,  Health,  Patient,  Patient Care",Average: 4.4,(10 votes)
Environmental Protection and Sustainability (edX) More Info,https://www.mooc-list.com/course/environmental-protection-and-sustainability-edx https://www.mooc-list.com/course/environmental-protection-and-sustainability-edx,IsraelX,EdX,English,"Uncover better solutions to help manage a wide range of environmental problems and challenges facing our world today. Do you want to understand more about the environmental problems we currently face? Do you want to learn ways we can reduce the negative effects of these problems, and keep our environment more sustainable? If so, this course is for you.",Self Paced,"Environment,  Sustainability,  Environmental Protection,  Sustainable Environments,  Biodiversity,  Pollution,  Air Quality,  Water Quality,  Urban Sustainability,  Global Sustainability",Average: 3.5,(2 votes)
Optimal Stopping Problems (IST) More Info,https://www.mooc-list.com/course/optimal-stopping-problems-ist https://www.mooc-list.com/course/optimal-stopping-problems-ist,"Instituto Superior Técnico, Universidade de Lisboa",MOOC Técnico,English,"This course address problems of optimal stopping, namely in financial applications, presenting one of the most used methodology: the Hamilton-Jacobi-Bellman equations.",Feb 24th 2019,"Math,  Optimal Stopping,  Hamilton-Jacobi-Bellman Equations,  HJB Equations,  Differential Equations",Average: 8,(1 vote)
Health Informatics for better and safer healthcare (edX) More Info,https://www.mooc-list.com/course/health-informatics-better-and-safer-healthcare-edx https://www.mooc-list.com/course/health-informatics-better-and-safer-healthcare-edx,IsraelX,EdX,English,"Learn when and how Informatics is used in different fields of healthcare, what the benefits are and the challenges that still lie ahead. Healthcare providers around the globe (e.g., doctors, nurses, physical or occupational therapists, etc.) are increasingly relying on health information technology, like electronic health records, for their daily routine tasks. Although using health information technology holds tremendous promises (like personalized and precision medicine to all) it can also result in unforeseen consequences leading to patients’ harm.",Feb 24th 2019,"Health Informatics,  Health,  Healthcare,  Health Information Technology",,
"eHealth: Combining Psychology, Technology and Health (FutureLearn) More Info",https://www.mooc-list.com/course/ehealth-combining-psychology-technology-and-health-futurelearn https://www.mooc-list.com/course/ehealth-combining-psychology-technology-and-health-futurelearn,University of Twente,FutureLearn,English,"How can technology make you healthy? Learn about the design, application, implementation and evaluation of eHealth. eHealth refers to the use of technologies to improve well-being, health, and healthcare. It is an umbrella term that captures concepts about the health context, technology, and people. In this free online course, we will provide you with insight into the domain of eHealth, describe methods to develop eHealth, and explain theories that enable behaviour change and facilitate implementation.",Feb 25th 2019,"eHealth,  Health,  Psychology,  Technology,  Wellbeing",Average: 5.9,(9 votes)
English Grammar and Style (edX) More Info,https://www.mooc-list.com/course/english-grammar-and-style-edx https://www.mooc-list.com/course/english-grammar-and-style-edx,"University of Queensland,  UQx",EdX,English,"Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century. With the rise of social media and the Internet, many people are writing more today for different mediums than ever before. We’ll present materials that cover grammatical principles, word usage, writing style, sentence and paragraph structure, and punctuation.",Feb 25th 2019,"English,  Writing Strategies,  Writing,  English Grammar,  Language",Average: 6.6,(16 votes)
Making Babies in the 21st Century (FutureLearn) More Info,https://www.mooc-list.com/course/making-babies-21st-century-futurelearn https://www.mooc-list.com/course/making-babies-21st-century-futurelearn,University College London,FutureLearn,English,"Explores the new reproductive technologies, the opportunities they provide, and the profound social challenges they pose. This course looks at six different areas of assisted reproduction and explores both the science and the impact they are having. The course is structured as a journey, taking as its starting point a person or couple wanting to conceive and using these types of technologies to who want to make a baby but can’t do so , due to their infertility, advanced age, sexuality or lack of partner.",Feb 25th 2019,"Fertility,  Reproductive Technology,  Assisted Reproduction,  Ethics,  Infertility",Average: 4,(1 vote)
Working in Teams: A Practical Guide (edX) More Info,https://www.mooc-list.com/course/working-teams-practical-guide-edx https://www.mooc-list.com/course/working-teams-practical-guide-edx,"University of Queensland,  UQx",EdX,English,"Learn how to build effective teams, be a great team player and manage team conflict. Teamwork is an essential component of most professional activities in the modern world. But what makes an effective team? This course is an introduction to teamwork skills for all disciplines that will help you improve your own performance and that of your team.",Self Paced,"Teamwork,  Team Management,  Effective Team,  Team Conflict,  Leadership,  Communication",Average: 2,(4 votes)
Les fondamentaux de la fonction publique territoriale (FUN) More Info,https://www.mooc-list.com/course/les-fondamentaux-de-la-fonction-publique-territoriale-fun https://www.mooc-list.com/course/les-fondamentaux-de-la-fonction-publique-territoriale-fun,Centre National de la Fonction Publique Territoriale (CNFPT),FUN,French,"Instituée en 1984, la fonction publique territoriale constitue le troisième versant de la fonction publique au côté de la fonction publique de l’Etat et de la fonction publique hospitalière. Comptant plus de 1,8 million d'agents, elle représente plus du tiers de l'ensemble des fonctionnaires.",Feb 25th 2019,"Local Government,  Local Government Service,  Territorial Public Service",Average: 8.8,(5 votes)
Environmental Challenges: Hierarchy in Property Rights (FutureLearn) More Info,https://www.mooc-list.com/course/environmental-challenges-hierarchy-property-rights-futurelearn https://www.mooc-list.com/course/environmental-challenges-hierarchy-property-rights-futurelearn,University of Leeds,FutureLearn,English,How does language help us develop our relationship with nature and determine the rights of access and ownership? Increasing populations and social changes are pressurising our relationship with the environment. Property rights are embedded in power structures and land management. This course explores the different ways that nature is perceived by different types of societies and the impact of property rights on natural resource management.,Feb 25th 2019,"Environmental Challenges,  Property Rights,  Environment",Average: 10,(2 votes)
